name,latitude_deg,longitude_deg,icao_code
Ocean Reef Club Airport,25.325399,-80.274803,
Aleknagik / New Airport,59.2826004,-158.6179962,
Sas Al Nakheel Air Base,24.44128,54.51696,OMNK
Burton-Nibbs International Airport,17.621194,-61.798347,TAPB
Honiara International Airport,-9.428,160.054993,AGGH
Munda Airport,-8.32797,157.263,AGGM
Nauru International Airport,-0.547893,166.919525,ANYN
Grandfather Skiway,-77.530242,-31.827393,
Boulder Clay Runway,-74.739373,164.03539,
Chamical Airport,-30.345303,-66.294072,SACT
Aeroestación Yabotí,-27.180308,-54.107368,
[Duplicate] Aeropuerto Pergamino,-33.89603,-60.5748,
Concordia Skyway,-75.103278,123.35825,
Vostok Skiway,-78.466139,106.84825,
[Duplicate] Wolf's Fang Runway,-71.5264,8.799459,
Nackeroo Airfield,-15.578026,130.475993,YNKR
[Duplicate] Western Sydney International Airport,-33.888056,150.714722,
Alxa Left Banner Bayanhot Airport,38.748317,105.58416,ZBAL
Baimuru Airport,-7.496955,144.821756,AYBA
Buka Airport,-5.422299,154.672698,AYBK
Balimo Airport,-8.050000191,142.9329987,AYBM
Chimbu Airport,-6.024290085,144.970993,AYCH
Daru Airport,-9.08676,143.207993,AYDU
Goroka Airport,-6.081689835,145.3919983,AYGA
Gurney Airport,-10.3114996,150.3339996,AYGN
Girua Airport,-8.80453968,148.3090057,AYGR
Hoskins Airport,-5.463846,150.407327,AYHK
Kerema Airport,-7.963610172,145.7709961,AYKM
Kavieng Airport,-2.579400063,150.8079987,AYKV
Madang Airport,-5.207079887,145.7890015,AYMD
Mount Hagen Kagamuga Airport,-5.828212,144.299412,AYMH
Mendi Airport,-6.14774,143.656998,AYMN
Momote Airport,-2.06189,147.423996,AYMO
Nadzab Tomodachi International Airport,-6.567995,146.726544,AYNZ
Port Moresby Jacksons International Airport,-9.443380356,147.2200012,AYPY
Tokua Airport,-4.34046,152.380005,AYTK
Vanimo Airport,-2.6926,141.3028,AYVN
Wapenamanda Airport,-5.635293,143.892231,AYWD
Wewak International Airport,-3.583830118,143.6690063,AYWK
Zabrat Airport,40.494884,49.977065,UBTT
Sitalchay Airbase,40.807313,49.431481,
Qizilagach Air Base,39.006162,48.806312,
Benguera Island Airport,-21.8533,35.438301,
Bezmer Air Base,42.454899,26.3522,
Aasiaat Airport,68.721802,-52.784698,BGAA
Neerlerit Inaat Airport,70.743103,-22.650499,BGCO
Nuuk International Airport,64.191066,-51.67914,BGGH
Ilulissat Airport,69.243202,-51.057098,BGJN
Kulusuk Airport,65.573601,-37.1236,BGKK
Qaanaaq Airport,77.488602,-69.388702,BGQQ
Kangerlussuaq International Airport,67.010446,-50.715294,BGSF
Sisimiut Airport,66.951302,-53.729301,BGSS
Pituffik Space Base,76.53063,-68.700541,BGTL
Akureyri International Airport,65.656573,-18.072018,BIAR
Bildudalur Airport,65.641296,-23.5462,BIBD
Egilsstaðir Airport,65.28330231,-14.40139961,BIEG
Grímsey Airport,66.5458,-18.0173,BIGR
Hornafjörður Airport,64.295601,-15.2272,BIHN
Húsavík Airport,65.952301,-17.426001,BIHU
Ísafjörður Airport,66.058098,-23.1353,BIIS
Keflavik International Airport,63.985001,-22.6056,BIKF
Reykjavík Domestic Airport,64.128732,-21.93759,BIRK
Mývatn Airport,65.6558,-16.9181,BIRL
Siglufjörður Airport,66.137847,-18.908157,BISI
Vestmannaeyjar Airport,63.42430115,-20.27890015,BIVM
Vopnafjörður Airport,65.720596,-14.8506,BIVO
Tourou International Airport,9.391186,2.507311,
Priština Adem Jashari International Airport,42.5728,21.035801,BKPR
Glauber de Andrade Rocha Airport,-14.907885,-40.914804,SBVC
Russas - João de Deus Regional Airport,-4.94727,-38.008202,
Betong International Airport,5.79,101.15,VTSY
Orsha Airport - Balbasovo Air Base,54.439999,30.2967,
Osovtsy Air Base,52.556999,24.884001,
Caye Caulker Airport,17.735015,-88.032862,
Caye Chapel Airport,17.683792,-88.044985,
Corozal Airport,18.3822,-88.411903,
Dangriga Airport,16.98251,-88.230988,
Sartaneja Airport,18.3561,-88.130798,
John Greif II Airport,17.9139,-87.9711,
Sir Barry Bowen Municipal Airport,17.517239,-88.195775,
Bazaruto Island Airport,-21.5411,35.4729,
Anahim Lake Airport,52.451501,-125.303776,
Qualicum Beach Airport,49.337456,-124.393086,
Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314,
Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CBBC
Laohutun Air Base,39.669998,121.765999,
Pulandian Air Base,39.450901,122.017998,
Beijing Shahezhen Air Base,40.14916611,116.3213882,
Beijing Tongxian Air Base,39.81111145,116.7083359,
Fengning Air Base,41.26079941,116.6179962,
Hohhot Bikeqi Air Base,40.737015,111.229749,
Huairen Air Base,39.717499,113.142998,
Liangxiangzhen Air Base,39.757801,116.125999,
Tangguantun Air Base,38.781101,117.068001,
Wenshui Air Base,37.407799,111.966003,
Yangcun Air Base,39.37329865,117.0950012,
Yongning Air Base,40.50310135,116.1080017,
Tangshan Zunhua Air Base,40.102501,117.887001,
Chengdu Huangtianba Air Base,30.705299,103.949997,
Chongqing Baishiyi Air Base,29.4953,106.359001,
Luliang Air Base,24.988192,103.642833,
Honghe Mengzi Airport / Mengzi Air Base,23.3953,103.334,
Qionglai Air Base,30.49099,103.466139,
Wenshan Air Base,23.71559906,103.8270035,
Xiangyun Midu Air Base,25.445299,100.735001,
Baihe Ningming Air Base,22.120481,107.125046,
Changsha Datuopu Airport / Changsha Air Base,28.068522,112.957306,
Dangyang Air Base,30.798599,111.809998,
Foluo Northeast Air Base,18.6922,109.161003,
Bazhong Enyang Airport,31.73842,106.644872,ZUBZ
Guiping Mengxu Air Base,23.330799,110.009003,
Jialaishi Air Base,19.697201,109.725998,
Leiyang Air Base,26.58720016,112.8919983,
Lingshui Air Base,18.4944,109.987999,
